Date,close,long_signal,short_signal,pct_change,log_return
2014-09-17,457.3340148925781,0,0,,
2014-09-18,424.44000244140625,0,1,-0.07192557601231186,-0.07464335114905024
2014-09-19,394.7959899902344,0,1,-0.06984264508683824,-0.07240150831598655
2014-09-20,408.90399169921875,0,1,0.03573491642945337,0.035111238924079614
2014-09-21,398.8210144042969,0,1,-0.02465854454739269,-0.024967658573127677
2014-09-22,402.1520080566406,0,0,0.008352101649706567,0.008317415847792081
2014-09-23,435.7909851074219,0,0,0.08364741783421215,0.08033258980830758
2014-09-24,423.2049865722656,0,0,-0.028880814347395978,-0.029306072958098176
2014-09-25,411.5740051269531,0,0,-0.027483091679796234,-0.027867817193167922
2014-09-26,404.42498779296875,0,0,-0.017369943788794973,-0.0175225712651671
2014-09-27,399.5199890136719,0,0,-0.012128327693262664,-0.012202475999442203
2014-09-28,377.1809997558594,0,0,-0.055914572166871124,-0.05753862134517328
2014-09-29,375.4670104980469,0,0,-0.00454420890480145,-0.004554565208133669
2014-09-30,386.9440002441406,0,0,0.030567238732558177,0.03010936786854685
2014-10-01,383.614990234375,0,0,-0.008603337970520819,-0.008640560327416795
2014-10-02,375.0719909667969,0,0,-0.0222697222086099,-0.022521436563615105
2014-10-03,359.5119934082031,0,0,-0.04148536263261304,-0.042370445494222315
2014-10-04,328.8659973144531,1,0,-0.08524332054467354,-0.0890971731632362
2014-10-05,320.510009765625,1,0,-0.025408487399317115,-0.02573685720834996
2014-10-06,330.0790100097656,0,0,0.02985554258083245,0.029418542484082596
2014-10-07,336.18701171875,0,0,0.018504665621736027,0.018335537549769843
2014-10-08,352.94000244140625,0,0,0.04983235561959076,0.048630490107531996
2014-10-09,365.0260009765625,0,0,0.03424377642532228,0.03367050886515816
2014-10-10,361.56201171875,0,0,-0.009489705523839986,-0.009535019685869594
2014-10-11,362.29901123046875,0,0,0.002038376510340001,0.0020363018397691725
2014-10-12,378.54901123046875,0,0,0.04485245473017008,0.04387568380252532
2014-10-13,390.41400146484375,0,0,0.03134333965318792,0.030862165749712976
2014-10-14,400.8699951171875,0,0,0.026781810112118443,0.02642945473533767
2014-10-15,394.77301025390625,0,0,-0.015209381938149025,-0.015326230901940996
2014-10-16,382.5559997558594,0,0,-0.030946924386216934,-0.031435894996154054
2014-10-17,383.75799560546875,0,0,0.0031420128043384565,0.0031370869973757617
2014-10-18,391.4419860839844,0,0,0.02002301076852442,0.01982518661870101
