Date,macro_factor1,macro_factor2,macro_factor3
2019-12-01,1.9057848032099665,0.6691879193257768,0.059945830647942094
2019-12-02,1.8167282865398566,0.16877698356486875,0.013262701098994257
2019-12-03,1.81080625155674,-0.010579035096693497,0.07393660950019061
2019-12-04,1.8106687490026865,-0.07722715805324858,-0.08977565334036075
2019-12-05,1.8209379905701895,0.009414136184307628,-0.09761033597936815
2019-12-06,1.7336887484882322,-0.09421603713246202,-0.113851647142181
2019-12-07,1.6733239548831986,-0.08230345695885208,-0.09780888385719894
2019-12-08,1.6009979121552267,-0.07309394296550424,-0.09062329669468693
2019-12-09,1.4455529520972252,-0.06719761135701531,0.012212587486401704
2019-12-10,1.4431548240614387,0.05507811013246748,-0.08778711084761555
2019-12-11,1.2877088437634874,-0.08509042424172017,0.21915847297527585
2019-12-12,1.2660620335776565,0.04034144370592473,0.057752135605724314
2019-12-13,1.2900105991722541,0.11991404752537202,0.2173988550050787
2019-12-14,1.2253531297236628,0.11347760104307757,0.20115306481789325
2019-12-15,-1.1627187246852433,0.10293059053804482,0.1854631187596478
2019-12-16,-1.170649937601129,0.07081892034222122,0.0948448905990782
2019-12-17,-1.105162647643216,0.09272963647594469,0.13324094385618618
2019-12-18,-1.0549142734106005,0.030449317376124028,-0.39498147143198387
2019-12-19,-1.0864346722100835,0.5863080584116777,-0.0630437187826605
2019-12-20,-0.9528884261280981,0.38985924965777946,-0.07910734875272296
2019-12-21,-0.88748546266745,0.38221020443882764,0.12653671852656007
2019-12-22,-0.8530461627546215,0.3624554213153067,0.10453179158794267
2019-12-23,-0.639904443058484,0.3525184851180557,-0.020684172809527765
2019-12-24,-0.5942874375502113,-0.3864250726646435,0.1837856393004161
2019-12-25,-0.4508436128363877,-0.2893642793985634,0.34464646621464307
2019-12-26,-0.43695527608249496,-0.34576775535210497,-0.2748215119576766
2019-12-27,-0.44599190878976597,0.2736574077506865,-0.12887585124574347
2019-12-28,-0.4024036758291706,0.2545113940456215,-0.11387665277612329
2019-12-29,-0.3870617307747201,0.12923961894858246,0.16600718227951353
2019-12-30,-0.7099270621830964,0.0862930222492438,0.017185342168427625
