,time,side,exec_price,last_price,cost_price,pnl_costprice,quantity,num_coins,coin_value,cash,nav,dailyPnL,dailyPnLPct,totalPnL,totalPnLPct,VaR_annualized
120,2021-05-01,no-trade,0.0,57828.05078125,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
121,2021-05-02,no-trade,0.0,56631.078125,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
122,2021-05-03,no-trade,0.0,57200.29296875,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
123,2021-05-04,no-trade,0.0,53333.5390625,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
124,2021-05-05,no-trade,0.0,57424.0078125,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
125,2021-05-06,no-trade,0.0,56396.515625,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
126,2021-05-07,no-trade,0.0,57356.40234375,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
127,2021-05-08,no-trade,0.0,58803.77734375,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
128,2021-05-09,no-trade,0.0,58232.31640625,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
129,2021-05-10,no-trade,0.0,55859.796875,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
