,time,side,exec_price,last_price,cost_price,pnl_costprice,quantity,num_coins,coin_value,cash,nav,dailyPnL,dailyPnLPct,totalPnL,totalPnLPct,VaR_annualized
90,2021-04-01,no-trade,0.0,59095.80859375,0.0,0.0,0.0,0.0,0.0,982586.9933271153,982586.9933271153,0.0,0.0,-17413.006672884687,-0.017413006672884687,-0.0
91,2021-04-02,no-trade,0.0,59384.3125,0.0,0.0,0.0,0.0,0.0,982586.9933271153,982586.9933271153,0.0,0.0,-17413.006672884687,-0.017413006672884687,-0.0
92,2021-04-03,no-trade,0.0,57603.890625,0.0,0.0,0.0,0.0,0.0,982586.9933271153,982586.9933271153,0.0,0.0,-17413.006672884687,-0.017413006672884687,-0.0
93,2021-04-04,no-trade,0.0,58758.5546875,0.0,0.0,0.0,0.0,0.0,982586.9933271153,982586.9933271153,0.0,0.0,-17413.006672884687,-0.017413006672884687,-0.0
94,2021-04-05,no-trade,0.0,59057.87890625,0.0,0.0,0.0,0.0,0.0,982586.9933271153,982586.9933271153,0.0,0.0,-17413.006672884687,-0.017413006672884687,-0.0
95,2021-04-06,no-trade,0.0,58192.359375,0.0,0.0,0.0,0.0,0.0,982586.9933271153,982586.9933271153,0.0,0.0,-17413.006672884687,-0.017413006672884687,-0.0
96,2021-04-07,no-trade,0.0,56048.9375,0.0,0.0,0.0,0.0,0.0,982586.9933271153,982586.9933271153,0.0,0.0,-17413.006672884687,-0.017413006672884687,-0.0
97,2021-04-08,no-trade,0.0,58323.953125,0.0,0.0,0.0,0.0,0.0,982586.9933271153,982586.9933271153,0.0,0.0,-17413.006672884687,-0.017413006672884687,-0.0
98,2021-04-09,no-trade,0.0,58245.00390625,0.0,0.0,0.0,0.0,0.0,982586.9933271153,982586.9933271153,0.0,0.0,-17413.006672884687,-0.017413006672884687,-0.0
99,2021-04-10,no-trade,0.0,59793.234375,0.0,0.0,0.0,0.0,0.0,982586.9933271153,982586.9933271153,0.0,0.0,-17413.006672884687,-0.017413006672884687,-0.0
100,2021-04-11,no-trade,0.0,60204.96484375,0.0,0.0,0.0,0.0,0.0,982586.9933271153,982586.9933271153,0.0,0.0,-17413.006672884687,-0.017413006672884687,-0.0
101,2021-04-12,no-trade,0.0,59893.453125,0.0,0.0,0.0,0.0,0.0,982586.9933271153,982586.9933271153,0.0,0.0,-17413.006672884687,-0.017413006672884687,-0.0
102,2021-04-13,buy,63566.96048828124,63503.45703125,63566.96048828124,-0.0009990009990008542,3.4914974120463236,3.4914974120463236,221722.1558806043,760643.1152906305,982365.2711712348,-221.72215588053223,-0.00022565142566131872,-17634.72882876522,-0.01763472882876522,-0.20813891654857394
103,2021-04-14,no-trade,0.0,63109.6953125,63566.96048828124,-0.007193440936436479,0.0,3.4914974120463236,220347.33785862575,760643.1152906305,980990.4531492563,-1374.8180219784845,-0.001399497785929814,-19009.546850743704,-0.019009546850743703,-0.2028133409537771
104,2021-04-15,no-trade,0.0,63314.01171875,63566.96048828124,-0.003979249087706083,0.0,3.4914974120463236,221060.70806228623,760643.1152906305,981703.8233529167,713.3702036604518,0.0007271938288189575,-18296.17664708325,-0.018296176647083252,-0.18762556232564798
105,2021-04-16,no-trade,0.0,61572.7890625,63566.96048828124,-0.03137119362736984,0.0,3.4914974120463236,214981.23366419293,760643.1152906305,975624.3489548235,-6079.474398093298,-0.006192778568722924,-24375.65104517655,-0.024375651045176548,-0.18712504785704523
