,time,side,exec_price,last_price,cost_price,pnl_costprice,quantity,num_coins,coin_value,cash,nav,dailyPnL,dailyPnLPct,totalPnL,totalPnLPct,VaR_annualized
181,2021-07-01,no-trade,0.0,33572.1171875,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
182,2021-07-02,no-trade,0.0,33897.046875,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
183,2021-07-03,no-trade,0.0,34668.546875,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
184,2021-07-04,no-trade,0.0,35287.78125,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
185,2021-07-05,no-trade,0.0,33746.00390625,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
186,2021-07-06,no-trade,0.0,34235.1953125,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
187,2021-07-07,no-trade,0.0,33855.328125,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
188,2021-07-08,no-trade,0.0,32877.37109375,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
189,2021-07-09,no-trade,0.0,33798.01171875,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
190,2021-07-10,no-trade,0.0,33520.51953125,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
191,2021-07-11,no-trade,0.0,34240.1875,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
192,2021-07-12,no-trade,0.0,33155.84765625,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
193,2021-07-13,no-trade,0.0,32702.025390625,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
194,2021-07-14,no-trade,0.0,32822.34765625,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
195,2021-07-15,no-trade,0.0,31780.73046875,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
196,2021-07-16,no-trade,0.0,31421.5390625,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
197,2021-07-17,no-trade,0.0,31533.068359375,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
198,2021-07-18,no-trade,0.0,31796.810546875,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
199,2021-07-19,no-trade,0.0,30817.83203125,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
200,2021-07-20,no-trade,0.0,29807.34765625,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
201,2021-07-21,no-trade,0.0,32110.693359375,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
202,2021-07-22,no-trade,0.0,32313.10546875,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
203,2021-07-23,no-trade,0.0,33581.55078125,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
204,2021-07-24,no-trade,0.0,34292.4453125,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
205,2021-07-25,no-trade,0.0,35350.1875,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
206,2021-07-26,no-trade,0.0,37337.53515625,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
207,2021-07-27,no-trade,0.0,39406.94140625,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
208,2021-07-28,no-trade,0.0,39995.90625,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
209,2021-07-29,no-trade,0.0,40008.421875,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
210,2021-07-30,no-trade,0.0,42235.546875,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
211,2021-07-31,no-trade,0.0,41626.1953125,0.0,0.0,0.0,0.0,0.0,972308.6394632342,972308.6394632342,0.0,0.0,-27691.360536765773,-0.027691360536765772,-0.0
