Date,close,long_signal,short_signal,log_return,long,short,long_costprice,short_costprice,long_dailypnl_pct,short_dailypnl_pct,total_dailypnl_pct,long_dailypnl_pct_posi,long_dailypnl_pct_nega,short_dailypnl_pct_posi,short_dailypnl_pct_nega,total_dailypnl_pct_posi,total_dailypnl_pct_nega,long_sumprofit,long_sumloss,short_sumprofit,short_sumloss,total_sumprofit,total_sumloss,long_PF,short_PF,total_PF,long_cumpnl_pct_pertrade,short_cumpnl_pct_pertrade,long_cumsignal_pertrade,short_cumsignal_pertrade,long_cumpnl_pct,short_cumpnl_pct,long_recovperiod,short_recovperiod,total_recovperiod,total_cumpnl_pct,long_cumpnl_max,short_cumpnl_max,total_cumpnl_max,long_drawdown,short_drawdown,total_drawdown,long_recovery_flag,short_recovery_flag,total_recovery_flag,long_position,short_position
2019-03-17,4025.22900390625,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3782121983634088,-1.512294817949388,1.2181068104752546,-0.6783250627385655,2.5963190088386634,-2.1906198806879535,1.3782121983634088,-1.512294817949388,1.2181068104752546,-0.6783250627385655,2.5963190088386634,-2.1906198806879535,0.9113383065295496,1.7957567505429581,1.1851983229620384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
2019-03-18,4032.50732421875,1.0,0.0,0.0018065426803688849,1.0,0.0,4036.5398315429684,0.0,-0.000999500333083388,0.0,-0.000999500333083388,0.0,-0.000999500333083388,0.0,0.0,0.0,-0.000999500333083388,1.3782121983634088,-1.5132943182824714,1.2181068104752546,-0.6783250627385655,2.5963190088386634,-2.191619381021037,0.910736385984469,1.7957567505429581,1.1846578066074063,-0.000999500333083388,0.0,0.0,0.0,-0.000999500333083388,0.0,1.0,0.0,1.0,-0.000999500333083388,0.0,0.0,0.0,-0.000999500333083388,0.0,-0.000999500333083388,1,0,1,1.0,0.0
2019-03-19,4071.190185546875,1.0,0.0,0.009547038273958657,1.0,0.0,4036.5398315429684,0.0,0.009547038273958657,0.0,0.009547038273958657,0.009547038273958657,0.0,0.0,0.0,0.009547038273958657,0.0,1.3877592366373674,-1.5132943182824714,1.2181068104752546,-0.6783250627385655,2.605866047112622,-2.191619381021037,0.9170451642297969,1.7957567505429581,1.189013963683144,0.00854753794087527,0.0,1.0,0.0,0.00854753794087527,0.0,0.0,0.0,0.0,0.00854753794087527,0.00854753794087527,0.0,0.00854753794087527,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-03-20,4087.476318359375,1.0,0.0,0.003992356946232674,1.0,0.0,4036.5398315429684,0.0,0.003992356946232674,0.0,0.003992356946232674,0.003992356946232674,0.0,0.0,0.0,0.003992356946232674,0.0,1.3917515935836,-1.5132943182824714,1.2181068104752546,-0.6783250627385655,2.609858404058855,-2.191619381021037,0.9196833535747246,1.7957567505429581,1.1908356107176636,0.012539894887107942,0.0,2.0,0.0,0.012539894887107942,0.0,0.0,0.0,0.0,0.012539894887107942,0.012539894887107942,0.0,0.012539894887107942,0.0,0.0,0.0,0,0,0,0.0,0.0
2019-03-21,4029.326904296875,1.0,0.0,-0.014328401790338464,1.0,0.0,4036.5398315429684,0.0,-0.014328401790338464,0.0,-0.014328401790338464,0.0,-0.014328401790338464,0.0,0.0,0.0,-0.014328401790338464,1.3917515935836,-1.5276227200728099,1.2181068104752546,-0.6783250627385655,2.609858404058855,-2.2059477828113754,0.9110571447361466,1.7957567505429581,1.1831007172493968,-0.001788506903230522,0.0,3.0,0.0,-0.001788506903230522,0.0,1.0,0.0,1.0,-0.001788506903230522,0.012539894887107942,0.0,0.012539894887107942,-0.014328401790338464,0.0,-0.014328401790338464,1,0,1,0.0,0.0
2019-03-22,4023.96826171875,1.0,0.0,-0.0013307952232004976,1.0,0.0,4036.5398315429684,0.0,-0.0013307952232004976,0.0,-0.0013307952232004976,0.0,-0.0013307952232004976,0.0,0.0,0.0,-0.0013307952232004976,1.3917515935836,-1.5289535152960103,1.2181068104752546,-0.6783250627385655,2.609858404058855,-2.207278578034576,0.9102641641228395,1.7957567505429581,1.1823874113718567,-0.0031193021264310197,0.0,4.0,0.0,-0.0031193021264310197,0.0,2.0,0.0,2.0,-0.0031193021264310197,0.012539894887107942,0.0,0.012539894887107942,-0.01565919701353896,0.0,-0.01565919701353896,1,0,1,0.0,0.0
2019-03-23,4035.826416015625,0.0,0.0,0.002942547131099483,0.0,0.0,0.0,0.0,0.001942547131099483,0.0,0.001942547131099483,0.001942547131099483,0.0,0.0,0.0,0.001942547131099483,0.0,1.3936941407146994,-1.5289535152960103,1.2181068104752546,-0.6783250627385655,2.611800951189954,-2.207278578034576,0.9115346717685369,1.7957567505429581,1.1832674756965098,-0.0011767549953315367,0.0,5.0,0.0,-0.0011767549953315367,0.0,3.0,0.0,3.0,-0.0011767549953315367,0.012539894887107942,0.0,0.012539894887107942,-0.013716649882439478,0.0,-0.013716649882439478,1,0,1,-1.0,0.0
2019-03-24,4022.168212890625,0.0,0.0,-0.003389978979623323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3936941407146994,-1.5289535152960103,1.2181068104752546,-0.6783250627385655,2.611800951189954,-2.207278578034576,0.9115346717685369,1.7957567505429581,1.1832674756965098,0.0,0.0,0.0,0.0,-0.0011767549953315367,0.0,4.0,0.0,4.0,-0.0011767549953315367,0.012539894887107942,0.0,0.012539894887107942,-0.013716649882439478,0.0,-0.013716649882439478,1,0,1,0.0,0.0
2019-03-25,3963.070556640625,0.0,0.0,-0.01480199577543759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3936941407146994,-1.5289535152960103,1.2181068104752546,-0.6783250627385655,2.611800951189954,-2.207278578034576,0.9115346717685369,1.7957567505429581,1.1832674756965098,0.0,0.0,0.0,0.0,-0.0011767549953315367,0.0,5.0,0.0,5.0,-0.0011767549953315367,0.012539894887107942,0.0,0.012539894887107942,-0.013716649882439478,0.0,-0.013716649882439478,1,0,1,0.0,0.0
2019-03-26,3985.080810546875,0.0,0.0,0.005538472822803469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3936941407146994,-1.5289535152960103,1.2181068104752546,-0.6783250627385655,2.611800951189954,-2.207278578034576,0.9115346717685369,1.7957567505429581,1.1832674756965098,0.0,0.0,0.0,0.0,-0.0011767549953315367,0.0,6.0,0.0,6.0,-0.0011767549953315367,0.012539894887107942,0.0,0.012539894887107942,-0.013716649882439478,0.0,-0.013716649882439478,1,0,1,0.0,0.0
2019-03-27,4087.066162109375,1.0,0.0,0.02526980216177766,1.0,0.0,4091.153228271484,0.0,-0.000999500333083388,0.0,-0.000999500333083388,0.0,-0.000999500333083388,0.0,0.0,0.0,-0.000999500333083388,1.3936941407146994,-1.5299530156290937,1.2181068104752546,-0.6783250627385655,2.611800951189954,-2.208278078367659,0.9109391768750711,1.7957567505429581,1.182731910792945,-0.000999500333083388,0.0,0.0,0.0,-0.002176255328414925,0.0,7.0,0.0,7.0,-0.002176255328414925,0.012539894887107942,0.0,0.012539894887107942,-0.014716150215522868,0.0,-0.014716150215522868,1,0,1,1.0,0.0
2019-03-28,4069.107177734375,1.0,0.0,-0.004403784140031825,1.0,0.0,4091.153228271484,0.0,-0.004403784140031825,0.0,-0.004403784140031825,0.0,-0.004403784140031825,0.0,0.0,0.0,-0.004403784140031825,1.3936941407146994,-1.5343567997691254,1.2181068104752546,-0.6783250627385655,2.611800951189954,-2.212681862507691,0.9083246744984013,1.7957567505429581,1.180377981780865,-0.005403284473115213,0.0,1.0,0.0,-0.0065800394684467495,0.0,8.0,0.0,8.0,-0.0065800394684467495,0.012539894887107942,0.0,0.012539894887107942,-0.01911993435555469,0.0,-0.01911993435555469,1,0,1,0.0,0.0
