Date,close,long_signal,short_signal,log_return,long,short,long_costprice,short_costprice,long_dailypnl_pct,short_dailypnl_pct,total_dailypnl_pct,long_dailypnl_pct_posi,long_dailypnl_pct_nega,short_dailypnl_pct_posi,short_dailypnl_pct_nega,total_dailypnl_pct_posi,total_dailypnl_pct_nega,long_sumprofit,long_sumloss,short_sumprofit,short_sumloss,total_sumprofit,total_sumloss,long_PF,short_PF,total_PF,long_cumpnl_pct_pertrade,short_cumpnl_pct_pertrade,long_cumsignal_pertrade,short_cumsignal_pertrade,long_cumpnl_pct,short_cumpnl_pct,long_recovperiod,short_recovperiod,total_recovperiod,total_cumpnl_pct,long_cumpnl_max,short_cumpnl_max,total_cumpnl_max,long_drawdown,short_drawdown,total_drawdown,long_recovery_flag,short_recovery_flag,total_recovery_flag,long_position,short_position
2016-04-23,450.2820129394531,1.0,0.0,,1.0,0.0,450.7322949523925,0.0,-0.000999500333083388,0.0,-0.000999500333083388,0.0,-0.000999500333083388,0.0,0.0,0.0,-0.000999500333083388,0.0,-0.000999500333083388,0.0,0.0,0.0,-0.000999500333083388,0.0,0.0,0.0,-0.000999500333083388,0.0,0.0,0.0,-0.000999500333083388,0.0,0.0,0.0,0.0,-0.000999500333083388,-0.000999500333083388,0.0,-0.000999500333083388,0.0,0.0,0.0,0,0,0,,
2016-04-24,458.55499267578125,1.0,0.0,0.018206143015635057,1.0,0.0,450.7322949523925,0.0,0.018206143015635057,0.0,0.018206143015635057,0.018206143015635057,0.0,0.0,0.0,0.018206143015635057,0.0,0.018206143015635057,-0.000999500333083388,0.0,0.0,0.018206143015635057,-0.000999500333083388,5.0,0.0,5.0,0.01720664268255167,0.0,1.0,0.0,0.01720664268255167,0.0,0.0,0.0,0.0,0.01720664268255167,0.01720664268255167,0.0,0.01720664268255167,0.0,0.0,0.0,0,0,0,0.0,0.0
2016-04-25,461.4259948730469,1.0,0.0,0.006241458369899468,1.0,0.0,450.7322949523925,0.0,0.006241458369899468,0.0,0.006241458369899468,0.006241458369899468,0.0,0.0,0.0,0.006241458369899468,0.0,0.024447601385534524,-0.000999500333083388,0.0,0.0,0.024447601385534524,-0.000999500333083388,5.0,0.0,5.0,0.023448101052451136,0.0,2.0,0.0,0.023448101052451136,0.0,0.0,0.0,0.0,0.023448101052451136,0.023448101052451136,0.0,0.023448101052451136,0.0,0.0,0.0,0,0,0,0.0,0.0
2016-04-26,466.0889892578125,1.0,0.0,0.010054896687550094,1.0,0.0,450.7322949523925,0.0,0.010054896687550094,0.0,0.010054896687550094,0.010054896687550094,0.0,0.0,0.0,0.010054896687550094,0.0,0.034502498073084614,-0.000999500333083388,0.0,0.0,0.034502498073084614,-0.000999500333083388,5.0,0.0,5.0,0.033502997740001234,0.0,3.0,0.0,0.033502997740001234,0.0,0.0,0.0,0.0,0.033502997740001234,0.033502997740001234,0.0,0.033502997740001234,0.0,0.0,0.0,0,0,0,0.0,0.0
2016-04-27,444.68701171875,1.0,0.0,-0.04700588971564477,1.0,0.0,450.7322949523925,0.0,-0.04700588971564477,0.0,-0.04700588971564477,0.0,-0.04700588971564477,0.0,0.0,0.0,-0.04700588971564477,0.034502498073084614,-0.048005390048728155,0.0,0.0,0.034502498073084614,-0.048005390048728155,0.7187213360429454,0.0,0.7187213360429454,-0.013502891975643534,0.0,4.0,0.0,-0.013502891975643534,0.0,1.0,0.0,1.0,-0.013502891975643534,0.033502997740001234,0.0,0.033502997740001234,-0.04700588971564477,0.0,-0.04700588971564477,1,0,1,0.0,0.0
2016-04-28,449.010986328125,1.0,0.0,0.009676665628468313,1.0,0.0,450.7322949523925,0.0,0.009676665628468313,0.0,0.009676665628468313,0.009676665628468313,0.0,0.0,0.0,0.009676665628468313,0.0,0.04417916370155293,-0.048005390048728155,0.0,0.0,0.04417916370155293,-0.048005390048728155,0.9202959012875139,0.0,0.9202959012875139,-0.003826226347175221,0.0,5.0,0.0,-0.003826226347175221,0.0,2.0,0.0,2.0,-0.003826226347175221,0.033502997740001234,0.0,0.033502997740001234,-0.037329224087176455,0.0,-0.037329224087176455,1,0,1,0.0,0.0
2016-04-29,455.09698486328125,1.0,0.0,0.013463193902923071,1.0,0.0,450.7322949523925,0.0,0.013463193902923071,0.0,0.013463193902923071,0.013463193902923071,0.0,0.0,0.0,0.013463193902923071,0.0,0.057642357604476,-0.048005390048728155,0.0,0.0,0.057642357604476,-0.048005390048728155,1.2007476149233614,0.0,1.2007476149233614,0.00963696755574785,0.0,6.0,0.0,0.00963696755574785,0.0,3.0,0.0,3.0,0.00963696755574785,0.033502997740001234,0.0,0.033502997740001234,-0.023866030184253383,0.0,-0.023866030184253383,1,0,1,0.0,0.0
2016-04-30,448.3179931640625,1.0,0.0,-0.015007762991123413,1.0,0.0,450.7322949523925,0.0,-0.015007762991123413,0.0,-0.015007762991123413,0.0,-0.015007762991123413,0.0,0.0,0.0,-0.015007762991123413,0.057642357604476,-0.06301315303985157,0.0,0.0,0.057642357604476,-0.06301315303985157,0.9147670735984453,0.0,0.9147670735984453,-0.005370795435375563,0.0,7.0,0.0,-0.005370795435375563,0.0,4.0,0.0,4.0,-0.005370795435375563,0.033502997740001234,0.0,0.033502997740001234,-0.0388737931753768,0.0,-0.0388737931753768,1,0,1,0.0,0.0
2016-05-01,451.875,1.0,0.0,0.007902806121518367,1.0,0.0,450.7322949523925,0.0,0.007902806121518367,0.0,0.007902806121518367,0.007902806121518367,0.0,0.0,0.0,0.007902806121518367,0.0,0.06554516372599437,-0.06301315303985157,0.0,0.0,0.06554516372599437,-0.06301315303985157,1.0401822566241286,0.0,1.0401822566241286,0.0025320106861428035,0.0,8.0,0.0,0.0025320106861428035,0.0,5.0,0.0,5.0,0.0025320106861428035,0.033502997740001234,0.0,0.033502997740001234,-0.03097098705385843,0.0,-0.03097098705385843,1,0,1,0.0,0.0
2016-05-02,444.66900634765625,1.0,0.0,-0.016075393468011404,1.0,0.0,450.7322949523925,0.0,-0.016075393468011404,0.0,-0.016075393468011404,0.0,-0.016075393468011404,0.0,0.0,0.0,-0.016075393468011404,0.06554516372599437,-0.07908854650786297,0.0,0.0,0.06554516372599437,-0.07908854650786297,0.8287567115609829,0.0,0.8287567115609829,-0.0135433827818686,0.0,9.0,0.0,-0.0135433827818686,0.0,6.0,0.0,6.0,-0.0135433827818686,0.033502997740001234,0.0,0.033502997740001234,-0.04704638052186984,0.0,-0.04704638052186984,1,0,1,0.0,0.0
